"","No.","Cantón","Total.delitos","Tasa.delitos","Pilar.de.calidad.de.vida","Indice.de.competitividad.cantonal","Pilar.económico","Pilar.Infraestructura","Pilar.clima.laboral","Pilar.Gobierno","IDH.2009","INESVIDA","IQ","BienestarMat","IDH.2012","Total.delitos..relativos.","Tasa.delitos..relativos.","Pilar.de.calidad.de.vida..relativos.","Indice.de.competitividad.cantonal..relativos.","Pilar.económico..relativos.","Pilar.Infraestructura..relativos.","Pilar.clima.laboral..relativos.","Pilar.Gobierno..relativos.","IDH.2009..relativos.","INESVIDA..relativos.","IQ..relativos.","BienestarMat..relativos.","IDH.2012..relativos.","Dindex","Total.delitos..relativos..1","Tasa.delitos..rank.","Pilar.de.calidad.de.vida..rank.","Indice.de.competitividad.cantonal..rank.","Pilar.económico..rank.","Pilar.Infraestructura..rank.","Pilar.clima.laboral..rank.","Pilar.Gobierno..rank.","IDH.2009..rank.","INESVIDA..rank.","IQ..rank.","BienestarMat..rank.","IDH.2012..rank.","Dindex..rank.","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14","Cluster15"
"32",32,"Heredia",1.7656138872119,1.14021353754381,0.533259448011798,1.43191852850766,1.20996732999949,0.805888028721535,1.6572451612085,-0.66227775537074,0.763896710632254,-0.266145733278082,0.139287715573874,1.06232657549701,0.525841879752536,-1.76561388736541,-1.1401595076795,0.533259448011798,1.43191852850766,1.20996732999949,0.805888028721535,2.28054375652588,-0.66227775537074,0.763896710434312,-0.266145732829555,0.139287715524996,1.06232657549701,0.525841879261018,0.974629984926412,1.60154559500847,76,18,7,5,18,3,57,19,49,37,13,22,14,"1","1","4","5","3","1","4","4","3","1","1","5","13","10"
"33",33,"Hojancha",-0.585150035618632,-0.700859853470593,3.77843601949631,0.0834153172199696,-0.486665826457358,-0.987833102480787,-0.767433749600345,0.028649662769433,1.00318565196583,2.2742324247067,1.33550426939385,0.00749172479193945,0.917530430778634,0.585150035398544,0.700868009758908,3.77843601949631,0.0834153172199697,-0.486665826457358,-0.987833102480787,-0.714805440119257,0.0286496627694327,1.00318565247352,2.27423242481872,1.33550426967242,0.00749172479193929,0.917530430402318,1.10324109117557,-1.52445174177035,12,1,28,61,67,59,36,12,1,7,36,14,10,"2","2","2","2","6","5","8","1","6","9","4","3","5","6"
"34",34,"Jimenez",-0.586397125232865,-0.917148082750627,1.2483819447675,-0.284358285858491,-1.27409843974116,-0.463439219861529,-1.1334230191564,0.833937481153496,-0.472429486257885,-0.832704890814258,0.438341854028867,-0.573866119062562,0.251659894034268,0.586397125495503,0.917110551779222,1.2483819447675,-0.284358285858491,-1.27409843974116,-0.463439219861529,-0.856661686226313,0.833937481153496,-0.472429486747992,-0.832704890124539,0.438341853739719,-0.573866119062562,0.251659894214935,0.0533329140973674,-1.56669494902411,2,9,48,80,50,67,15,54,63,27,59,30,38,"2","2","1","1","1","3","1","2","6","2","10","6","6","5"
"35",35,"La Cruz",-0.531525182206583,-0.627111980144652,0.503668172283976,-0.572181105659026,-0.145715622767466,-1.23777785027128,-0.309947162655281,0.362200830147447,-0.951007368925036,0.647659359522201,-0.601846453640674,-1.22714452091968,-0.85812433387301,0.531525182274051,0.627183623909351,0.503668172283976,-0.572181105659026,-0.145715622767466,-1.23777785027128,-0.278324682866777,0.362200830147447,-0.951007369568806,0.647659359696319,-0.601846453318193,-1.22714452091968,-0.858124334436983,-0.519412880572943,-1.10201966923267,18,19,57,31,76,49,28,69,22,58,72,67,60,"2","3","3","3","1","4","5","5","4","6","9","13","12","12"
"36",36,"La Union",0.25040000591795,-0.0941159865617125,-0.818075476892087,0.206006518246123,0.414416854723072,1.02642751206608,0.559277352540341,-1.11018932299264,0.24543733774284,1.21421851705838,-0.887898238249798,0.349114375304378,0.186378468863251,-0.250400005910335,0.0941558803672841,-0.818075476892087,0.206006518246123,0.414416854723071,1.02642751206608,0.261820254233166,-1.11018932299265,0.245437338112027,1.21421851699131,-0.887898238145679,0.349114375304378,0.186378469442954,0.0215336108266592,0.967897486201956,49,69,26,16,13,29,72,31,9,65,27,32,40,"2","2","1","1","6","3","8","1","10","2","6","12","8","14"
"37",37,"Leon Cortes",-0.570184960247827,-0.723596351966338,-0.620800305373272,-1.59022107939795,-2.41871698070008,-0.630069051721854,-1.1791716778509,-0.538387321773192,-1.21688397040679,0.282137322402087,-0.445818207490243,-1.52681351259726,-1.11925003455708,0.570184960040482,0.723602289344602,-0.620800305373272,-1.59022107939795,-2.41871698070008,-0.630069051721854,-0.867573705157625,-0.538387321773192,-1.21688397043726,0.282137322330683,-0.445818207517213,-1.52681351259726,-1.11925003477961,-1.61853296903193,-1.39772212000904,9,60,80,81,58,68,52,72,31,55,78,69,78,"2","3","3","3","4","7","5","5","1","7","2","11","3","11"
"38",38,"Liberia",0.214234407105172,0.423576594572168,-0.610936546797331,0.221996674901708,-0.153833484760082,-0.291908510593547,1.19975857426343,0.810112397769353,0.617664579817291,-0.777876585246241,0.412337146337129,0.894511940157571,0.747798725333992,-0.214234406886459,-0.423610692570445,-0.610936546797331,0.221996674901708,-0.153833484760082,-0.291908510593547,0.77468514400483,0.810112397769352,0.617664579327863,-0.777876585496734,0.412337146965244,0.89451194015757,0.747798725493285,0.357217143580264,0.925654278948188,66,57,25,33,43,13,16,23,61,28,15,18,25,"2","2","2","2","6","5","8","1","10","9","4","12","4","8"
"39",39,"Limon",0.986182878315835,0.869998997729002,0.128845346398226,-0.609491471188725,-0.0401834168634515,-0.66437519357545,-0.264198503960774,-0.809993272352432,-1.24347163055496,-1.56374896505448,-0.458820561336112,-0.963435808243413,-1.40648830530955,-0.986182877923576,-0.870023988590931,0.128845346398226,-0.609491471188724,-0.0401834168634517,-0.66437519357545,-0.234676607141529,-0.809993272352432,-1.24347163052411,-1.56374896485581,-0.458820560904451,-0.963435808243413,-1.40648830578386,-1.3733203921432,1.4325727659934,73,27,60,27,61,48,64,73,75,56,67,73,71,"2","3","3","3","4","4","7","8","7","3","5","1","14","7"
"40",40,"Los Chiles",-0.529031002978115,-0.706689724879759,-0.842734873331939,-1.68083196711294,-0.446076516494276,-1.58083926880724,-0.4471931387388,0.795817347738866,-1.78851866359255,0.0262718964180081,-2.16212891514499,-1.43691281509399,-1.44565716041216,0.529031002805814,0.706750921010188,-0.842734873331939,-1.68083196711294,-0.446076516494276,-1.58083926880724,-2.19338400531203,0.795817347738866,-1.78851866419083,0.0262718959970925,-2.16212891519359,-1.43691281509399,-1.44565715989422,-1.83520212273674,-1.0597764619789,10,70,81,58,78,80,18,78,40,79,75,74,80,"2","3","3","3","4","7","5","5","1","7","2","11","3","11"
"41",41,"Matina",-0.302060693187581,-0.151540219941991,-0.472843926734161,-0.801373351055748,-0.421722930516426,-1.53673137213833,-0.996177043072877,1.45338964914124,-2.3734471868524,-0.924085400094286,-2.05811008437803,-1.96433024044652,-2.20292169239595,0.302060692966656,0.151528066352935,-0.47284392673416,-0.801373351055747,-0.421722930516426,-1.53673137213833,-0.818469619966721,1.45338964914124,-2.37344718735903,-0.924085400798276,-2.0581100842301,-1.96433024044652,-2.20292169276991,-1.49581038337462,0.123033341126599,46,52,67,53,77,64,7,79,66,78,81,79,73,"2","3","3","3","4","7","5","8","7","7","5","1","14","7"
